"","desired_habitat","polygon_id","transect","pin_number","data_type","species_code","scientific_name","native_non_native","functional_group","layer","new_column"
"43","Mulefat Scrub/sage Scrub","OW-M7",1,37,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"44","Mulefat Scrub/sage Scrub","OW-M7",1,38,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"45","Mulefat Scrub/sage Scrub","OW-M7",1,39,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"46","Mulefat Scrub/sage Scrub","OW-M7",1,40,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"47","Mulefat Scrub/sage Scrub","OW-M7",1,41,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"48","Mulefat Scrub/sage Scrub","OW-M7",1,42,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"49","Mulefat Scrub/sage Scrub","OW-M7",1,43,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"50","Mulefat Scrub/sage Scrub","OW-M7",1,44,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"51","Mulefat Scrub/sage Scrub","OW-M7",1,45,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"52","Mulefat Scrub/sage Scrub","OW-M7",1,46,"T.PI","AMSMEN","Amsinckia menziesii var intermedia","Native","Annual Forb - Other","herb","herb"
"53","Mulefat Scrub/sage Scrub","OW-M7",1,47,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"54","Mulefat Scrub/sage Scrub","OW-M7",1,48,"T.PI","DEIFAS","Deinandra fasciculata","Non-Native","Annual Forb - Late Flowering","herb","."
"55","Mulefat Scrub/sage Scrub","OW-M7",1,49,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"56","Mulefat Scrub/sage Scrub","OW-M7",1,50,"T.PI","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"57","Mulefat Scrub/sage Scrub","OW-M7",1,3,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"58","Mulefat Scrub/sage Scrub","OW-M7",1,4,"T.PI","OPULIT","Opuntia littoralis","Native","Shrub - Late Flowering","shrub","shrub"
"59","Mulefat Scrub/sage Scrub","OW-M7",1,5,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"60","Mulefat Scrub/sage Scrub","OW-M7",1,7,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"61","Mulefat Scrub/sage Scrub","OW-M7",1,8,"T.PI","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"62","Mulefat Scrub/sage Scrub","OW-M7",1,8,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"63","Mulefat Scrub/sage Scrub","OW-M7",1,10,"T.PI","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"64","Mulefat Scrub/sage Scrub","OW-M7",1,10,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"65","Mulefat Scrub/sage Scrub","OW-M7",1,11,"T.PI","CRYINT","Cryptantha intermedia","Native","Annual Forb - Other","herb","herb"
"66","Mulefat Scrub/sage Scrub","OW-M7",1,11,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"67","Mulefat Scrub/sage Scrub","OW-M7",1,11,"T.PI","SONOLE","Sonchus oleraceus","Non-Native","Forb",".","."
"68","Mulefat Scrub/sage Scrub","OW-M7",1,13,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"69","Mulefat Scrub/sage Scrub","OW-M7",1,15,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"70","Mulefat Scrub/sage Scrub","OW-M7",1,15,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"71","Mulefat Scrub/sage Scrub","OW-M7",1,20,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"72","Mulefat Scrub/sage Scrub","OW-M7",1,20,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"73","Mulefat Scrub/sage Scrub","OW-M7",1,21,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"74","Mulefat Scrub/sage Scrub","OW-M7",1,22,"T.PI","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"75","Mulefat Scrub/sage Scrub","OW-M7",1,23,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"76","Mulefat Scrub/sage Scrub","OW-M7",1,28,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"77","Mulefat Scrub/sage Scrub","OW-M7",1,29,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"78","Mulefat Scrub/sage Scrub","OW-M7",1,33,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"79","Mulefat Scrub/sage Scrub","OW-M7",1,34,"T.PI","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"80","Mulefat Scrub/sage Scrub","OW-M7",1,34,"T.PI","EROCIC","Erodium cicutarium","Non-Native","Forb",".","."
"81","Mulefat Scrub/sage Scrub","OW-M7",1,35,"T.PI","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"82","Mulefat Scrub/sage Scrub","OW-M7",1,36,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"83","Mulefat Scrub/sage Scrub","OW-M7",1,38,"T.PI","TOXDIV","Toxicodendron diversilobum","Native","Shrub - Other","shrub","shrub"
"84","Mulefat Scrub/sage Scrub","OW-M7",1,39,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"85","Mulefat Scrub/sage Scrub","OW-M7",1,39,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"86","Mulefat Scrub/sage Scrub","OW-M7",1,40,"T.PI","DEIFAS","Deinandra fasciculata","Non-Native","Annual Forb - Late Flowering","herb","."
"87","Mulefat Scrub/sage Scrub","OW-M7",1,41,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"88","Mulefat Scrub/sage Scrub","OW-M7",1,42,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"89","Mulefat Scrub/sage Scrub","OW-M7",1,42,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"90","Mulefat Scrub/sage Scrub","OW-M7",1,44,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"91","Mulefat Scrub/sage Scrub","OW-M7",1,44,"T.PI","AMSMEN","Amsinckia menziesii var intermedia","Native","Annual Forb - Other","herb","herb"
"92","Mulefat Scrub/sage Scrub","OW-M7",1,44,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"93","Mulefat Scrub/sage Scrub","OW-M7",1,44,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"94","Mulefat Scrub/sage Scrub","OW-M7",1,46,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"95","Mulefat Scrub/sage Scrub","OW-M7",1,46,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"96","Mulefat Scrub/sage Scrub","OW-M7",1,46,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"97","Mulefat Scrub/sage Scrub","OW-M7",1,47,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"98","Mulefat Scrub/sage Scrub","OW-M7",1,47,"T.PI","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"99","Mulefat Scrub/sage Scrub","OW-M7",1,47,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"100","Mulefat Scrub/sage Scrub","OW-M7",1,48,"T.PI","SONOLE","Sonchus oleraceus","Non-Native","Forb",".","."
"101","Mulefat Scrub/sage Scrub","OW-M7",1,48,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"102","Mulefat Scrub/sage Scrub","OW-M7",1,49,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"103","Mulefat Scrub/sage Scrub","OW-M7",1,49,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"104","Mulefat Scrub/sage Scrub","OW-M7",1,49,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"105","Mulefat Scrub/sage Scrub","OW-M7",1,50,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"106","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","DATWRI","Datura wrightii","Native","Perennial Forb - Late Flowering","herb","herb"
"107","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","PSEMIC","Pseudognaphalium microcephalum","Native","Perennial Forb - Late Flowering","herb","herb"
"108","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","LYSAVE","Lysimachia arvensis","Non-Native","Forb",".","."
"109","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","ERICAN","Erigeron canadensis","Native","Annual Forb - Other","herb","herb"
"110","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","ESCCAL","Eschscholzia californica","Native","Annual Forb - Other","herb","herb"
"111","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","LUPBIC","Lupinus bicolor","Native","Annual Forb - Other","herb","herb"
"112","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","HESWHI","Hesperoyucca whipplei","Native","Shrub - Other","shrub","shrub"
"113","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","TOXDIV","Toxicodendron diversilobum","Native","Shrub - Other","shrub","shrub"
"114","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","SILGAL","Silene gallica","Non-Native","Forb",".","."
"115","Mulefat Scrub/sage Scrub","OW-M7",1,NA,"A.Belt","URTDIO","Urtica dioica","Non-Native","Perennial Forb - Other","herb","."
"116","Elderberry Scrubland","OW-M1",1,1,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"117","Elderberry Scrubland","OW-M1",1,2,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"118","Elderberry Scrubland","OW-M1",1,3,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"119","Elderberry Scrubland","OW-M1",1,4,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"120","Elderberry Scrubland","OW-M1",1,5,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"121","Elderberry Scrubland","OW-M1",1,6,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"122","Elderberry Scrubland","OW-M1",1,7,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"123","Elderberry Scrubland","OW-M1",1,8,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"124","Elderberry Scrubland","OW-M1",1,9,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"125","Elderberry Scrubland","OW-M1",1,10,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"126","Elderberry Scrubland","OW-M1",1,11,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"127","Elderberry Scrubland","OW-M1",1,12,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"128","Elderberry Scrubland","OW-M1",1,13,"T.PI","CRYINT","Cryptantha intermedia","Native","Annual Forb - Other","herb","herb"
"129","Elderberry Scrubland","OW-M1",1,14,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"130","Elderberry Scrubland","OW-M1",1,15,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"131","Elderberry Scrubland","OW-M1",1,16,"T.PI","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"132","Elderberry Scrubland","OW-M1",1,17,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"133","Elderberry Scrubland","OW-M1",1,18,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"134","Elderberry Scrubland","OW-M1",1,19,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"135","Elderberry Scrubland","OW-M1",1,20,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"136","Elderberry Scrubland","OW-M1",1,21,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"137","Elderberry Scrubland","OW-M1",1,22,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"138","Elderberry Scrubland","OW-M1",1,23,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"139","Elderberry Scrubland","OW-M1",1,24,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"140","Elderberry Scrubland","OW-M1",1,25,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"141","Elderberry Scrubland","OW-M1",1,26,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"142","Elderberry Scrubland","OW-M1",1,27,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"143","Elderberry Scrubland","OW-M1",1,28,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"144","Elderberry Scrubland","OW-M1",1,29,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"145","Elderberry Scrubland","OW-M1",1,30,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"146","Elderberry Scrubland","OW-M1",1,31,"T.PI","ARTDOU","Artemisia douglasiana","Native","Perennial Forb - Late Flowering","herb","herb"
"147","Elderberry Scrubland","OW-M1",1,32,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"148","Elderberry Scrubland","OW-M1",1,33,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"149","Elderberry Scrubland","OW-M1",1,34,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"150","Elderberry Scrubland","OW-M1",1,35,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"151","Elderberry Scrubland","OW-M1",1,36,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"152","Elderberry Scrubland","OW-M1",1,37,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"153","Elderberry Scrubland","OW-M1",1,38,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"154","Elderberry Scrubland","OW-M1",1,39,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"155","Elderberry Scrubland","OW-M1",1,40,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"156","Elderberry Scrubland","OW-M1",1,41,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"157","Elderberry Scrubland","OW-M1",1,42,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"158","Elderberry Scrubland","OW-M1",1,43,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"159","Elderberry Scrubland","OW-M1",1,44,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"160","Elderberry Scrubland","OW-M1",1,45,"T.PI","ARTDOU","Artemisia douglasiana","Native","Perennial Forb - Late Flowering","herb","herb"
"161","Elderberry Scrubland","OW-M1",1,46,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"162","Elderberry Scrubland","OW-M1",1,47,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"163","Elderberry Scrubland","OW-M1",1,48,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"164","Elderberry Scrubland","OW-M1",1,49,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"165","Elderberry Scrubland","OW-M1",1,50,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"166","Elderberry Scrubland","OW-M1",1,7,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"167","Elderberry Scrubland","OW-M1",1,8,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"168","Elderberry Scrubland","OW-M1",1,8,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"169","Elderberry Scrubland","OW-M1",1,8,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"170","Elderberry Scrubland","OW-M1",1,9,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"171","Elderberry Scrubland","OW-M1",1,10,"T.PI","AMSMEN","Amsinckia menziesii var intermedia","Native","Annual Forb - Other","herb","herb"
"172","Elderberry Scrubland","OW-M1",1,10,"T.PI","ESCCAL","Eschscholzia californica","Native","Annual Forb - Other","herb","herb"
"173","Elderberry Scrubland","OW-M1",1,12,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"174","Elderberry Scrubland","OW-M1",1,13,"T.PI","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"175","Elderberry Scrubland","OW-M1",1,15,"T.PI","CRYINT","Cryptantha intermedia","Native","Annual Forb - Other","herb","herb"
"176","Elderberry Scrubland","OW-M1",1,15,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"177","Elderberry Scrubland","OW-M1",1,16,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"178","Elderberry Scrubland","OW-M1",1,20,"T.PI","CRYINT","Cryptantha intermedia","Native","Annual Forb - Other","herb","herb"
"179","Elderberry Scrubland","OW-M1",1,25,"T.PI","ESCCAL","Eschscholzia californica","Native","Annual Forb - Other","herb","herb"
"180","Elderberry Scrubland","OW-M1",1,26,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"181","Elderberry Scrubland","OW-M1",1,28,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"182","Elderberry Scrubland","OW-M1",1,29,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"183","Elderberry Scrubland","OW-M1",1,29,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"184","Elderberry Scrubland","OW-M1",1,29,"T.PI","ESCCAL","Eschscholzia californica","Native","Annual Forb - Other","herb","herb"
"185","Elderberry Scrubland","OW-M1",1,30,"T.PI","ARTDOU","Artemisia douglasiana","Native","Perennial Forb - Late Flowering","herb","herb"
"186","Elderberry Scrubland","OW-M1",1,31,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"187","Elderberry Scrubland","OW-M1",1,31,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"188","Elderberry Scrubland","OW-M1",1,32,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"189","Elderberry Scrubland","OW-M1",1,45,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"190","Elderberry Scrubland","OW-M1",1,45,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"191","Elderberry Scrubland","OW-M1",1,46,"T.PI","LYSARV","Lysimachia arvensis","Non-Native","Forb",".","."
"192","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","LEPNIT","Lepidium nitidum","Native","Annual Forb - Other","herb","herb"
"193","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","CALMAC","Calystegia macrostegia","Native","Perennial Forb - Other","herb","herb"
"194","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","CROSET","Croton setigerus","Native","Annual Forb - Late Flowering","herb","herb"
"195","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","DATWRI","Datura wrightii","Native","Perennial Forb - Late Flowering","herb","herb"
"196","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","ERICAN","Erigeron canadensis","Native","Annual Forb - Other","herb","herb"
"197","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","EUCCHR","Eucrypta chrysanthemifolia","Native","Annual Forb - Other","herb","herb"
"198","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","AMBPSI","Ambrosia psilostachya","Native","Perennial Forb - Late Flowering","herb","herb"
"199","Elderberry Scrubland","OW-M1",1,NA,"A.Belt","PHAPAR","Phacelia parryi","Native","Annual Forb - Other","herb","herb"
